OPEID,state abv,state,county,city,Name,Address,Zip Code,Zip Ext,"Prog
Length","School
Type",Year 1,"
Num 1","
Denom 1",DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,"Average or
Greater than 30",Year 2,"
Num 2","
Denom 2",DRate 2,PRate 2,Year 3,"
Num 3","
Denom 3",DRate 3,PRate 3,lat,lng,population,density,military,age_median,male,female,married,family_size,income_household_median,income_household_six_figure,home_ownership,home_value,rent_median,education_college_or_above,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple
11460,CA,California,San Diego,La Jolla,NATIONAL UNIVERSITY                                              ,11255 NORTH TORREY PINES ROAD                     ,92037,1011,8,2,2016,310,6234,4.9,A,5,53,9,0,2015,377,6770,5.5,A,2014,415,7195,5.7,A,32.85506,-117.25012,39724,1382.3,FALSE,44.5,48.8,51.2,54.1,2.92,105904,53.2,58.2,1437621,1976,74.6,57.9,4.7,81.7,1.8,10.5,0.1,0.1,1.5,4.4
7607,CA,California,Los Angeles,North Hollywood,CONCORDE CAREER COLLEGE                                          ,12412 VICTORY BOULEVARD                           ,91606,3134,5,3,2016,30,494,6,A,5,28,9,0,2015,66,503,13.1,A,2014,64,524,12.2,A,34.1866,-118.38871,44476,5208.8,FALSE,36.3,50,50,43.5,3.6,46397,20.5,30.6,532287,1243,21.5,64.4,7,69.3,4,5.5,0.3,0.5,18.1,2.3
41596,CA,California,Los Angeles,North Hollywood,GALAXY MEDICAL COLLEGE                                           ,6400 LAUREL CANYON BOULEVARD       SUITE 115      ,91606,1593,3,3,2016,13,74,17.5,B,5,28,9,1,2015,3,30,10,A,2014,7,30,23.3,A,34.1866,-118.38871,44476,5208.8,FALSE,36.3,50,50,43.5,3.6,46397,20.5,30.6,532287,1243,21.5,64.4,7,69.3,4,5.5,0.3,0.5,18.1,2.3
1153,CA,California,Los Angeles,Northridge,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",18111 NORDHOFF                                    ,91330,8307,8,1,2016,264,6973,3.7,P,3,27,9,0,2015,413,7546,5.4,P,2014,372,7110,5.2,P,34.24765,-118.52607,3273,3096.7,FALSE,19.8,40.6,59.4,2.3,,,,,,,48.1,45.1,26.6,44.1,14.3,19,0.1,0.6,14.1,7.8
41898,CA,California,Los Angeles,Northridge,ACADEMY FOR SALON PROFESSIONALS                                  ,19520 NORDHOFF STREET              SUITE # 9      ,91324,2305,3,3,2016,6,52,11.5,A,5,30,9,0,2015,6,53,11.3,A,2014,9,73,12.3,A,34.23901,-118.54958,29617,2433.8,FALSE,37.4,53.7,46.3,43.3,3.53,75949,40.3,51.6,588323,1636,40.6,63,4.1,56.3,6.8,18.3,0.3,0.2,13.9,4.3
41460,CA,California,Los Angeles,Panorama City,NATIONAL CAREER COLLEGE                                          ,14355 ROSCOE BOULEVARD             1ST FLOOR      ,91402,4222,5,3,2016,30,179,16.7,A,5,28,9,0,2015,16,74,21.6,A,2014,10,65,15.3,A,34.22411,-118.44481,70686,7232.8,FALSE,33.4,49.3,50.7,43.3,3.91,42857,16.3,32.9,385244,1241,17.4,68.4,9.4,39.9,3.5,14.2,0.6,0.1,40.4,1.4
36463,CA,California,San Luis Obispo,Paso Robles,DESIGN'S SCHOOL OF COSMETOLOGY                                   ,2727 BUENA VISTA DRIVE             SUITE 105      ,93446,9530,3,3,2016,16,122,13.1,A,5,22,9,0,2015,24,111,21.6,A,2014,24,106,22.6,A,35.66353,-120.73097,44753,40.4,FALSE,40.6,49.5,50.5,55.8,3.06,65694,32.7,66.2,444784,1195,24.9,63.1,3.5,89.8,1.1,1.1,0.4,0,4.9,2.7
41812,CA,California,Los Angeles,Reseda,SOUTHERN CALIFORNIA HEALTH INSTITUTE (SOCHI)                     ,18040 SHERMAN WAY                  SUITE 500      ,91335,3100,3,3,2016,77,387,19.8,A,5,27,9,0,2015,87,351,24.7,A,2014,56,251,22.3,A,34.20105,-118.54067,80524,4373.7,FALSE,37.3,49.4,50.6,43.5,3.84,60413,27.7,47.5,459493,1395,25.1,65.4,6,58.2,4.3,13.2,0.9,0.1,19.9,3.4
41913,CA,California,Los Angeles,Reseda,ANNENBERG SCHOOL OF NURSING                                      ,19300 SHERMAN WAY                                 ,91335,3711,3,2,2016,2,29,6.8,B,5,30,9,1,2015,0,15,0,B,2014,0,10,0,B,34.20105,-118.54067,80524,4373.7,FALSE,37.3,49.4,50.6,43.5,3.84,60413,27.7,47.5,459493,1395,25.1,65.4,6,58.2,4.3,13.2,0.9,0.1,19.9,3.4
41582,CA,California,Los Angeles,Sherman Oaks,PAUL MITCHELL THE SCHOOL SHERMAN OAKS                            ,"15301 VENTURA BOULEVARD, UNIT P2                  ",91403,5882,3,3,2016,18,172,10.4,A,5,28,9,0,2015,22,162,13.5,A,2014,9,161,5.5,A,34.14659,-118.46286,25218,2497.2,FALSE,39.8,48.3,51.7,46.2,2.84,95944,48.4,44.2,915988,1749,60.6,74.8,8.3,80.1,6.3,7.2,0.4,0.1,1.3,4.6
12550,CA,California,Los Angeles,Sylmar,LOS ANGELES MISSION COLLEGE                                      ,13356 ELDRIDGE AVENUE                             ,91342,3200,5,1,2016,25,203,12.3,A,3,27,9,0,2015,35,248,14.1,A,2014,28,200,14,A,34.31515,-118.3851,96487,642.6,FALSE,34.5,50.5,49.5,44.7,4.16,70106,32.4,65.5,428162,1525,17.5,63.8,4.5,73.8,3.6,5.3,1,0.1,13.6,2.7
21102,CA,California,Los Angeles,Tarzana,COLUMBIA COLLEGE HOLLYWOOD                                       ,18618 OXNARD STREET                               ,91356,1411,6,2,2016,45,339,13.2,P,5,27,9,0,2015,28,272,10.2,P,2014,8,138,5.7,A,34.15508,-118.54751,30804,1550.7,FALSE,42,49,51,45.9,3.14,74561,39,56.7,876536,1546,47.2,64.2,6.8,77.1,5.2,6.7,0.1,0,6.4,4.5
25459,CA,California,Los Angeles,Tarzana,HYPNOSIS MOTIVATION INSTITUTE                                    ,"18607 VENTURA BLVD, SUITE 310                     ",91356,4154,3,2,2016,3,107,2.8,A,5,27,9,0,2015,8,100,8,A,2014,18,101,17.8,A,34.15508,-118.54751,30804,1550.7,FALSE,42,49,51,45.9,3.14,74561,39,56.7,876536,1546,47.2,64.2,6.8,77.1,5.2,6.7,0.1,0,6.4,4.5
1132,CA,California,Los Angeles,Valencia,CALIFORNIA INSTITUTE OF THE ARTS                                 ,24700 MCBEAN PARKWAY                              ,91355,2397,8,2,2016,16,320,5,A,5,25,9,0,2015,25,392,6.3,A,2014,19,362,5.2,A,34.42466,-118.58923,31455,812.1,FALSE,40.7,50,50,50.6,3.09,92707,46.3,58.8,528734,1933,45.6,65.2,5.2,71.6,3.5,12,0.2,0.1,5.6,7
41589,CA,California,Los Angeles,Valencia,FLAIR BEAUTY COLLEGE                                             ,23754 VALENCIA BOULEVARD                          ,91355,2196,3,3,2016,3,39,7.6,A,5,25,9,0,2015,1,35,2.8,A,2014,1,45,2.2,A,34.42466,-118.58923,31455,812.1,FALSE,40.7,50,50,50.6,3.09,92707,46.3,58.8,528734,1933,45.6,65.2,5.2,71.6,3.5,12,0.2,0.1,5.6,7
1228,CA,California,Los Angeles,Van Nuys,LOS ANGELES VALLEY COLLEGE                                       ,5800 FULTON AVENUE                                ,91401,4096,5,1,2016,45,439,10.2,A,3,28,9,0,2015,67,492,13.6,A,2014,64,425,15,A,34.17812,-118.43146,41412,4392.5,FALSE,36.2,50.6,49.4,42.6,3.41,54058,27.1,34.1,645162,1318,33.5,70.5,7.4,61.7,5,5.5,0.8,0,23.6,3.5
6731,CA,California,Los Angeles,Van Nuys,CASA LOMA COLLEGE                                                ,6725 KESTER AVENUE                                ,91405,4523,5,2,2016,7,236,2.9,A,5,28,9,0,2015,33,348,9.4,A,2014,31,391,7.9,A,34.20119,-118.44811,55384,5967.9,FALSE,33.4,49.2,50.8,40.8,3.73,43548,15.4,26.6,457292,1224,20.9,71.1,9.3,37.1,4.3,7,0.2,0.1,48.7,2.6
25916,CA,California,Los Angeles,Van Nuys,NORTH-WEST COLLEGE                                               ,14540 HAYNES STREET                               ,91411,1611,3,3,2016,1,184,0.5,A,5,29,9,0,2015,5,147,3.4,A,2014,4,151,2.6,A,34.17855,-118.45922,25801,4655.8,FALSE,34.9,49.2,50.8,37.3,3.4,54555,23.2,26.9,621273,1361,34.8,73.8,6.6,69.5,6,6.9,0,0.1,14.5,3
41145,CA,California,Los Angeles,Canoga Park,VALLEY COLLEGE OF MEDICAL CAREERS                                ,8399 TOPANGA CANYON BOULEVARD      SUITE 200      ,91304,2354,5,3,2016,13,77,16.8,A,5,30,9,0,2015,10,52,19.2,A,2014,12,66,18.1,A,34.22466,-118.6325,53761,2062.1,FALSE,38.2,49.7,50.3,46,3.56,68282,32.4,50.8,571509,1419,29.6,69,6,50.9,5.4,14.6,0.3,0.1,24.8,3.9
1224,CA,California,Los Angeles,Wilmington,LOS ANGELES HARBOR COLLEGE                                       ,1111 FIGUEROA PLACE                               ,90744,2397,5,1,2016,9,117,7.6,P,3,36,9,0,2015,11,102,10.7,P,2014,23,119,19.3,P,33.77864,-118.26167,57206,2491.9,FALSE,30.2,50.4,49.6,40.2,4.33,47776,16.3,37.2,374902,1111,7.6,64.4,7,53.9,2.4,2.9,4,0.4,32.6,3.7
1226,CA,California,Los Angeles,Woodland Hills,LOS ANGELES PIERCE COLLEGE                                       ,6201 WINNETKA AVENUE                              ,91371,1,5,1,2016,83,626,13.2,A,5,27,9,0,2015,96,695,13.8,A,2014,107,624,17.1,A,34.18459,-118.57636,0,1.6,FALSE,,,,,,,,,,,,,,,,,,,,
1434,DC,District of Columbia,District of Columbia,Washington,AMERICAN UNIVERSITY (THE)                                        ,4400 MASSACHUSETTS AVENUE NW                      ,20016,8020,8,2,2016,50,2717,1.8,A,5,AL      ,3,0,2015,49,2682,1.8,A,2014,66,2749,2.4,A,38.93815,-77.09147,34783,2829.2,FALSE,37.7,44.8,55.2,46.4,3,150997,64.5,69.5,921671,1925,88.1,64.7,4.4,79,6.7,7.4,0.3,0,1.5,5.1
1464,DC,District of Columbia,District of Columbia,Washington,WESLEY THEOLOGICAL SEMINARY                                      ,4500 MASSACHUSETTS AVENUE NW                      ,20016,5690,8,2,2016,2,82,2.4,A,5,AL      ,3,0,2015,4,102,3.9,A,2014,3,96,3.1,A,38.93815,-77.09147,34783,2829.2,FALSE,37.7,44.8,55.2,46.4,3,150997,64.5,69.5,921671,1925,88.1,64.7,4.4,79,6.7,7.4,0.3,0,1.5,5.1
1437,DC,District of Columbia,District of Columbia,Washington,CATHOLIC UNIVERSITY OF AMERICA (THE)                             ,"620 MICHIGAN AVENUE, NORTHEAST                    ",20064,2,8,2,2016,34,1342,2.5,P,5,AL      ,3,0,2015,50,1448,3.4,P,2014,33,1390,2.3,P,38.93639,-76.99914,2207,3769.6,FALSE,19.9,40.7,59.3,1.8,,,,,,,73.7,36.7,9,75.4,12.6,7.2,0,0.2,1.3,3.3
41427,DC,District of Columbia,District of Columbia,Washington,PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAM,"620 MICHIGAN AVENUE, NE            MCGIVNEY HALL  ",20064,1,8,2,2016,0,29,0,B,5,AL      ,3,1,2015,0,30,0,B,2014,0,34,0,B,38.93639,-76.99914,2207,3769.6,FALSE,19.9,40.7,59.3,1.8,,,,,,,73.7,36.7,9,75.4,12.6,7.2,0,0.2,1.3,3.3
1441,DC,District of Columbia,District of Columbia,Washington,UNIVERSITY OF THE DISTRICT OF COLUMBIA                           ,"4200 CONNECTICUT AVENUE NORTHWEST  BLDG. 39, SUITE",20008,1175,8,1,2016,187,1245,15,P,2,AL      ,3,0,2015,223,1473,15.1,P,2014,204,1251,16.3,P,38.93594,-77.05932,29457,3496.9,FALSE,38.3,46.3,53.7,40,2.6,117195,58.7,39.3,791539,1940,88.1,79,3,80.2,7.9,5.5,0.1,0,3.6,2.6
1443,DC,District of Columbia,District of Columbia,Washington,GALLAUDET UNIVERSITY                                             ,800 FLORIDA AVENUE NORTHEAST                      ,20002,3695,8,2,2016,25,286,8.7,A,5,AL      ,3,0,2015,28,315,8.8,A,2014,37,321,11.5,A,38.90511,-76.98437,64895,3852.6,FALSE,33.2,47.9,52.1,27.6,3.23,84892,44,39.4,604913,1558,60,74.3,5.8,44.5,47.5,3.1,0.2,0,2,2.7
1444,DC,District of Columbia,District of Columbia,Washington,GEORGE WASHINGTON UNIVERSITY                                     ,"2121 I STREET, NW                                 ",20052,2353,8,2,2016,87,4491,1.9,P,5,AL      ,3,0,2015,79,4632,1.7,P,2014,89,4910,1.8,P,38.90013,-77.04698,751,66553.4,FALSE,20.2,53.7,46.3,0,,,,,,,86.7,36.6,8.7,76.4,10.5,10.5,0,0,0,2.5
1445,DC,District of Columbia,District of Columbia,Washington,GEORGETOWN UNIVERSITY                                            ,37TH AND O STREETS NORTHWEST                      ,20057,1252,8,2,2016,40,3100,1.2,P,5,AL      ,3,0,2015,35,3239,1,P,2014,28,3290,0.8,P,38.90918,-77.07559,3841,8831.6,FALSE,19.8,47.7,52.3,1.1,,,,,,,88.9,38.5,5.4,65.1,9.3,18.1,0.2,0,1.6,5.7
1448,DC,District of Columbia,District of Columbia,Washington,HOWARD UNIVERSITY                                                ,"2400 SIXTH STREET, NW                             ",20059,1,8,2,2016,218,2722,8,P,2,AL      ,3,0,2015,197,2506,7.8,P,2014,201,2641,7.6,P,38.92386,-77.01612,,,FALSE,,,,,,,,,,,,,,,,,,,,
1459,DC,District of Columbia,District of Columbia,Washington,STRAYER UNIVERSITY                                               ,1133 15TH STREET NW                SUITE 200      ,20005,2603,8,3,2016,2148,20612,10.4,A,5,AL      ,3,0,2015,2527,23813,10.6,A,2014,3574,27068,13.2,A,38.90468,-77.0315,13222,11575.2,FALSE,33.7,49.8,50.2,31,2.72,94611,47.2,22.5,487867,1885,75.7,82.7,2.7,61.8,16.3,8.5,0.9,0.1,8.4,4
31043,DC,District of Columbia,District of Columbia,Washington,CAREER TECHNICAL INSTITUTE                                       ,"1101 VERMONT AVE, NW                              ",20005,3521,5,3,2016,97,432,22.4,A,5,AL      ,3,0,2015,156,544,28.6,A,2014,164,548,29.9,A,38.90468,-77.0315,13222,11575.2,FALSE,33.7,49.8,50.2,31,2.72,94611,47.2,22.5,487867,1885,75.7,82.7,2.7,61.8,16.3,8.5,0.9,0.1,8.4,4
32183,DC,District of Columbia,District of Columbia,Washington,UNIVERSITY OF THE POTOMAC                                        ,1401 H STREET NORTHWEST                           ,20005,9997,8,3,2016,18,89,20.2,A,5,AL      ,3,0,2015,30,179,16.7,A,2014,34,178,19.1,A,38.90468,-77.0315,13222,11575.2,FALSE,33.7,49.8,50.2,31,2.72,94611,47.2,22.5,487867,1885,75.7,82.7,2.7,61.8,16.3,8.5,0.9,0.1,8.4,4
1460,DC,District of Columbia,District of Columbia,Washington,TRINITY WASHINGTON UNIVERSITY                                    ,"125 MICHIGAN AVENUE, NORTHEAST                    ",20017,1004,8,2,2016,121,874,13.8,A,5,AL      ,3,0,2015,134,1082,12.3,A,2014,103,1001,10.2,A,38.93845,-76.99317,20450,3091.4,FALSE,37,46.6,53.4,32.4,3.31,77560,40.1,57.8,477475,1529,49.6,64.4,8,27.2,61.4,2.7,1.5,0,4.3,2.8
12803,DC,District of Columbia,District of Columbia,Washington,DOMINICAN HOUSE OF STUDIES                                       ,487 MICHIGAN AVENUE NORTHEAST                     ,20017,1584,8,2,2016,0,14,0,B,5,AL      ,3,1,2015,0,19,0,B,2014,0,18,0,B,38.93845,-76.99317,20450,3091.4,FALSE,37,46.6,53.4,32.4,3.31,77560,40.1,57.8,477475,1529,49.6,64.4,8,27.2,61.4,2.7,1.5,0,4.3,2.8
34096,DC,District of Columbia,District of Columbia,Washington,BENNETT CAREER INSTITUTE                                         ,700 MONROE ST NE                                  ,20017,1754,3,3,2016,53,131,40.4,A,5,AL      ,3,0,2015,43,154,27.9,A,2014,35,118,29.6,A,38.93845,-76.99317,20450,3091.4,FALSE,37,46.6,53.4,32.4,3.31,77560,40.1,57.8,477475,1529,49.6,64.4,8,27.2,61.4,2.7,1.5,0,4.3,2.8
21328,DC,District of Columbia,District of Columbia,Washington,NATIONAL CONSERVATORY OF DRAMATIC ARTS                           ,1556 WISCONSIN AVENUE NORTHWEST                   ,20007,2758,4,2,2016,7,51,13.7,B,5,AL      ,3,1,2015,7,50,14,B,2014,4,41,9.7,B,38.91418,-77.07866,27562,3455.4,FALSE,34.6,46.4,53.6,38,2.86,130920,59.8,53.9,977599,1897,87.2,73.4,4.2,81.7,5.5,6.9,0.2,0.1,1.8,3.8
37503,DC,District of Columbia,District of Columbia,Washington,PROSPECT COLLEGE                                                 ,1720 I STREET NW SUITE 200                        ,20006,3749,3,3,2016,78,353,22,A,5,AL      ,3,0,2015,64,304,21,A,2014,34,235,14.4,A,38.89859,-77.04134,2756,3669.1,FALSE,19.7,43.9,56.1,5.4,2.22,46319,18.1,6.6,,1760,85.5,40.7,9.7,68.3,11.3,13.9,0,0.3,1.3,4.9
41144,DC,District of Columbia,District of Columbia,Washington,INSTITUTE OF WORLD POLITICS (THE)                                ,"1521 16TH STREET, NW                              ",20036,1464,8,2,2016,0,51,0,A,5,AL      ,3,0,2015,0,33,0,A,2014,1,53,1.8,A,38.90696,-77.04166,5798,6303.5,FALSE,33.4,47.2,52.8,32.2,2.2,88553,44,35.7,384617,1922,90.7,81.5,1.9,83.6,3.8,8.3,0,0.6,0.7,3.1
39413,FL,Florida,Collier,Immokalee,AVE MARIA UNIVERSITY                                             ,5050 AVE MARIA BOULEVARD                          ,34142,9505,8,2,2016,13,301,4.3,A,5,14,4,0,2015,27,312,8.6,A,2014,28,277,10.1,A,26.33816,-81.33596,30955,17.9,FALSE,27.8,55.2,44.8,34.9,4.47,32128,11.5,40.7,143537,773,8.3,67.5,11,71.3,19.3,0.5,1.6,0,6.6,0.7
1531,FL,Florida,Volusia,Deland,STETSON UNIVERSITY                                               ,421 NORTH WOODLAND BOULEVARD                      ,32723,3761,8,2,2016,26,971,2.6,P,5,7,4,0,2015,40,993,4,P,2014,43,1003,4.2,P,29.00996,-81.30877,,,FALSE,,,,,,,,,,,,,,,,,,,,
7893,FL,Florida,St. Johns,Saint Augustine,FLAGLER COLLEGE                                                  ,74 KING STREET                                    ,32085,4342,8,2,2016,18,901,1.9,A,5,7,4,0,2015,37,928,3.9,A,2014,67,971,6.9,A,29.88685,-81.34372,,,FALSE,,,,,,,,,,,,,,,,,,,,
1526,FL,Florida,Pasco,Saint Leo,SAINT LEO UNIVERSITY                                             ,33701 STATE ROAD 52                               ,33574,6665,8,2,2016,434,5943,7.3,A,5,5,4,0,2015,475,5955,7.9,A,2014,479,5588,8.5,A,28.33183,-82.27405,,,FALSE,,,,,,,,,,,,,,,,,,,,
1487,FL,Florida,Pinellas,Saint Petersburg,ECKERD COLLEGE                                                   ,4200 54TH AVENUE SOUTH                            ,33711,4744,6,2,2016,16,482,3.3,A,5,10,4,0,2015,27,540,5,A,2014,31,522,5.9,A,27.7389,-82.68844,20366,1552,FALSE,37.9,46.4,53.6,30.6,3.38,39720,15,57.3,152174,1140,24.1,53.8,8.6,38,56.2,1.3,0.1,0,1.4,3
10161,FL,Florida,Pinellas,Saint Petersburg,LORAINES ACADEMY & SPA                                           ,1012 58TH STREET NORTH                            ,33710,6391,3,3,2016,2,119,1.6,A,5,10,4,0,2015,2,131,1.5,A,2014,4,115,3.4,A,27.79012,-82.73041,33883,1594.8,FALSE,44.3,49.7,50.3,44.2,3.2,57815,21.9,75.6,177553,985,30.3,66,4.5,86.6,4.5,4.1,0.2,0.1,0.6,3.9
22796,FL,Florida,Pinellas,Saint Petersburg,CORTIVA INSTITUTE                                                ,2370 34TH STREET NORTH                            ,33713,3614,2,3,2016,57,342,16.6,A,5,10,4,0,2015,41,215,19,A,2014,26,158,16.4,A,27.78879,-82.67754,32350,1756.3,FALSE,41.3,50.3,49.7,38.2,3.29,54067,20.4,64.7,149717,1102,25.4,66.3,4.8,75.4,8.8,10,0.3,0.1,2.5,3
1578,GA,Georgia,Troup,Lagrange,LAGRANGE COLLEGE                                                 ,601 BROAD STREET                                  ,30240,2999,8,2,2016,36,359,10,A,5,8,4,0,2015,41,397,10.3,A,2014,31,370,8.3,A,33.03625,-85.12366,29114,83,FALSE,36,46.1,53.9,43.8,3.35,44422,18.6,59.3,151881,791,26.1,62.2,7.3,62.6,31.3,1.8,0.3,0,1.5,2.5
1623,ID,Idaho,Kootenai,Coeur D Alene,NORTH IDAHO COLLEGE                                              ,1000 WEST GARDEN AVENUE                           ,83814,2199,5,1,2016,242,1421,17,A,5,1,10,0,2015,277,1664,16.6,A,2014,433,1910,22.6,A,47.63961,-116.75208,26607,45.5,FALSE,38.7,49.7,50.3,46.7,2.87,50498,20.6,54.4,274762,873,31.1,62,6.4,94.6,0.3,0.8,1.1,0.1,1.2,1.9
1737,IL,Illinois,DeKalb,Dekalb,NORTHERN ILLINOIS UNIVERSITY                                     ,ALTGELD HALL - ROOM 300A                          ,60115,2854,8,1,2016,399,5055,7.8,P,5,14,5,0,2015,439,5669,7.7,P,2014,466,5802,8,P,41.90082,-88.7548,45325,221.3,FALSE,25,48.8,51.2,30.6,3.2,44747,20,39.7,157237,874,37.6,65.6,10.7,73.3,15.1,4.4,0.1,0,4.2,2.8
1835,IN,Indiana,Vigo,Saint Mary Of The Woods,SAINT MARY OF THE WOODS COLLEGE                                  ,1 SAINT MARY OF THE WOODS COLLEGE                 ,47876,67,8,2,2016,18,345,5.2,A,5,8,5,0,2015,19,363,5.2,A,2014,21,360,5.8,A,39.51321,-87.45963,354,324.1,FALSE,51.3,0,100,2.8,,,,,,,29.7,32.2,7.9,92.7,4,2.3,0,0,1.1,0
7276,IN,Indiana,Spencer,Saint Meinrad,SAINT MEINRAD SCHOOL OF THEOLOGY                                 ,200 HILL DRIVE                                    ,47577,1002,8,2,2016,0,20,0,B,5,9,5,1,2015,0,23,0,B,2014,1,20,5,B,38.15219,-86.80674,1297,17.5,FALSE,43.9,58.1,41.9,63.4,3.02,67250,26.9,92.4,171294,,15.1,70.7,4.4,98.5,0,1.5,0,0,0,0
22890,IA,Iowa,Henry,Mount Pleasant,AMERICAN HAIR ACADEMY                                            ,304 SOUTH IRIS STREET                             ,52641,1856,4,3,2016,2,52,3.8,B,5,2,7,1,2015,4,66,6,B,2014,5,76,6.5,B,40.98968,-91.58718,12254,22.5,FALSE,38.9,51.6,48.4,50.8,2.81,53922,20.6,67.6,121250,692,21.2,60.3,2.8,89,3.5,3.9,0.4,0,0.8,2.4
